Site, DateTime, Water Level, Prediction, Residual
abellpoint,2021-06-07T00:00:00,1.82,1.746,0.074
abellpoint,2021-06-07T00:10:00,1.75,1.669,0.081
abellpoint,2021-06-07T00:20:00,1.667,1.598,0.069
abellpoint,2021-06-07T00:30:00,1.589,1.529,0.06
abellpoint,2021-06-07T00:40:00,1.538,1.466,0.072
abellpoint,2021-06-07T00:50:00,1.476,1.406,0.07
abellpoint,2021-06-07T01:00:00,1.397,1.352,0.045
abellpoint,2021-06-07T01:10:00,1.342,1.301,0.041
abellpoint,2021-06-07T01:20:00,1.3,1.255,0.045
abellpoint,2021-06-07T01:30:00,1.273,1.213,0.06
abellpoint,2021-06-07T01:40:00,1.217,1.175,0.042
abellpoint,2021-06-07T01:50:00,1.185,1.141,0.044
abellpoint,2021-06-07T02:00:00,1.157,1.111,0.046
abellpoint,2021-06-07T02:10:00,1.147,1.087,0.06
abellpoint,2021-06-07T02:20:00,1.123,1.068,0.055
abellpoint,2021-06-07T02:30:00,1.103,1.055,0.048
abellpoint,2021-06-07T02:40:00,1.111,1.049,0.062
abellpoint,2021-06-07T02:50:00,1.085,1.051,0.034
abellpoint,2021-06-07T03:00:00,1.077,1.06,0.017
abellpoint,2021-06-07T03:10:00,1.104,1.078,0.026
abellpoint,2021-06-07T03:20:00,1.134,1.103,0.031
abellpoint,2021-06-07T03:30:00,1.156,1.133,0.023
abellpoint,2021-06-07T03:40:00,1.202,1.17,0.032
abellpoint,2021-06-07T03:50:00,1.251,1.213,0.038
abellpoint,2021-06-07T04:00:00,1.271,1.257,0.014
abellpoint,2021-06-07T04:10:00,1.3,1.306,-0.006
abellpoint,2021-06-07T04:20:00,1.354,1.357,-0.003
abellpoint,2021-06-07T04:30:00,1.409,1.408,0.001
abellpoint,2021-06-07T04:40:00,1.483,1.463,0.02
abellpoint,2021-06-07T04:50:00,1.529,1.519,0.01
abellpoint,2021-06-07T05:00:00,1.557,1.577,-0.02
abellpoint,2021-06-07T05:10:00,1.642,1.638,0.004
abellpoint,2021-06-07T05:20:00,1.705,1.701,0.004
abellpoint,2021-06-07T05:30:00,1.773,1.763,0.01
abellpoint,2021-06-07T05:40:00,1.844,1.828,0.016
abellpoint,2021-06-07T05:50:00,1.906,1.892,0.014
abellpoint,2021-06-07T06:00:00,1.958,1.952,0.006
abellpoint,2021-06-07T06:10:00,2.018,2.01,0.008
abellpoint,2021-06-07T06:20:00,2.059,2.065,-0.006
abellpoint,2021-06-07T06:30:00,2.119,2.113,0.006
abellpoint,2021-06-07T06:40:00,2.138,2.156,-0.018
abellpoint,2021-06-07T06:50:00,2.18,2.195,-0.015
abellpoint,2021-06-07T07:00:00,2.214,2.227,-0.013
abellpoint,2021-06-07T07:10:00,2.251,2.256,-0.005
abellpoint,2021-06-07T07:20:00,2.278,2.281,-0.003
abellpoint,2021-06-07T07:30:00,2.318,2.301,0.017
abellpoint,2021-06-07T07:40:00,2.325,2.319,0.006
abellpoint,2021-06-07T07:50:00,2.334,2.333,0.001
abellpoint,2021-06-07T08:00:00,2.306,2.343,-0.037
abellpoint,2021-06-07T08:10:00,2.319,2.348,-0.029
